GAF	GO:0080184	GO:0033800	GO:0042577	GO:0031174	GO:0045299	GO:0006742	GO:0019364	GO:0019677	GO:0070823
barley.gaf.gz	0	0	0	0	0	0	0	0	0
brachy.gaf.gz	0	0	0	0	0	0	0	0	0
common_bean.gaf.gz	1	7	1	1	0	1	0	1	1
cotton_prelim.gaf.gz	0	0	0	0	0	0	0	0	0
cowpea.gaf.gz	1	8	1	1	0	0	0	0	2
maize_Mo17.AGPv1.gaf.gz	0	0	0	0	0	0	0	0	0
maize_PH207.UIUC_UMN-1.0.gaf.gz	0	0	0	0	0	0	0	0	0
maize_v4.gaf.gz	0	0	0	0	0	0	0	0	0
maize.W22.AGPv2.gaf.gz	0	0	0	0	0	0	0	0	0
medicago1.gaf.gz	1	16	1	1	0	1	0	1	3
medicago2.gaf.gz	2	17	1	1	0	1	0	1	1
peanut.gaf.gz	2	34	3	3	0	2	0	2	2
rice.gaf.gz	0	0	0	0	0	0	0	0	0
sorghum.gaf.gz	0	0	0	0	0	0	0	0	0
soybean.gaf.gz	1	16	1	1	0	1	0	1	4
wheat.gaf.gz	0	0	0	0	0	0	0	0	0
